MATRICULA,C_SPANISH,C_MATHEMATICS,C_SCIENCES,PROM_T_USE_TECH,DT,Y,CI
00001,5,10,7,5,10,5,10
00002,5,5,5,2,0,6,10
00003,5,7,9,8,10,7,0
00004,8,8,7,9,10,4,0
00005,9,8,7,6,0,4,0
00006,5,7,7,9,10,7,10
00007,5,9,7,6,0,7,0
00008,9,6,9,7,0,6,0
00009,5,5,9,5,10,6,10
00010,10,6,9,4,0,2,0
00011,9,9,6,3,0,4,10
00012,10,8,9,3,10,5,10
00013,9,7,8,10,0,6,10
00014,5,6,8,8,0,10,10
00015,10,6,7,7,10,3,0
00016,5,10,5,1,10,4,0
00017,6,6,10,4,0,6,10
00018,6,5,6,1,10,8,10
00019,6,5,7,10,10,2,10
00020,8,6,7,7,0,9,0
00021,6,9,5,3,10,7,0
00022,5,5,9,7,0,4,0
00023,9,10,7,6,0,2,0
00024,7,9,7,2,10,4,10
00025,6,10,7,1,0,1,10
00026,5,6,6,4,10,3,10
00027,7,10,10,5,10,7,0
00028,9,8,10,10,10,1,0
00029,9,10,5,4,10,6,10
00030,7,8,9,7,10,5,10
00031,7,8,6,6,10,8,10
00032,5,10,10,3,0,9,0
00033,8,5,6,9,0,6,0
00034,5,9,9,4,10,3,0
00035,8,10,10,5,0,10,10
00036,7,8,6,10,0,9,10
00037,7,6,8,6,0,7,10
00038,10,8,8,1,0,9,10
00039,6,5,7,8,10,2,10
00040,8,10,9,6,10,7,0
00041,9,7,8,9,10,5,0
00042,7,9,6,1,10,6,10
00043,9,9,6,5,10,7,10
00044,5,9,5,4,0,1,10
00045,5,9,8,9,0,4,0
00046,8,9,7,6,10,7,10
00047,6,7,6,7,0,1,0
00048,7,8,6,6,10,10,10
00049,9,5,6,10,0,7,10
00050,10,7,9,3,10,9,10
00051,10,9,10,1,10,2,0
00052,10,10,5,9,10,2,10
00053,9,8,9,8,10,8,10
00054,8,6,7,10,0,4,10
00055,5,8,9,5,0,1,0
00056,7,6,10,9,10,4,0
00057,7,8,5,4,10,8,10
00058,9,5,10,3,10,2,10
00059,7,5,6,1,0,10,10
00060,5,8,8,2,0,2,0
00061,9,5,9,6,10,4,10
00062,7,5,6,4,10,4,0
00063,6,7,10,8,0,4,0
00064,8,9,9,5,0,3,0
00065,8,6,9,9,0,7,10
00066,10,8,10,10,0,8,10
00067,8,10,9,1,0,9,10
00068,5,5,9,1,0,10,10
00069,6,9,8,8,0,8,10
00070,8,10,10,3,0,5,0
00071,9,5,8,1,0,10,10
00072,9,7,5,4,10,5,10
00073,6,10,7,6,0,10,10
00074,6,5,9,9,0,5,10
00075,9,10,8,1,10,9,10
00076,7,9,9,5,0,6,0
00077,10,10,8,9,0,1,10
00078,9,7,5,6,0,1,0
