MATRICULA,C_SPANISH,C_MATHEMATICS,C_SCIENCES,PROM_T_USE_TECH,DT,Y,CI
00001,6,9,9,1,0,10,10
00002,10,10,6,2,0,2,0
00003,6,9,6,10,0,7,10
00004,9,6,6,7,0,7,10
00005,9,5,10,7,0,7,0
00006,5,10,10,6,0,10,0
00007,9,5,9,8,0,7,0
00008,8,9,8,5,0,9,10
00009,10,10,7,8,10,1,10
00010,7,6,9,3,0,8,10
00011,9,5,10,8,10,2,0
00012,10,8,6,8,10,5,0
00013,10,10,8,2,10,5,10
00014,5,5,7,10,0,3,0
00015,5,5,7,4,0,6,0
00016,9,7,7,4,10,8,0
00017,9,8,10,10,0,8,0
00018,6,10,9,5,0,8,10
00019,6,10,7,3,0,5,0
00020,6,6,10,1,0,7,0
00021,10,9,8,6,0,1,0
00022,8,6,7,3,0,9,0
00023,10,6,9,4,0,8,10
00024,10,8,9,6,10,4,10
00025,10,6,7,5,0,9,0
00026,7,9,10,8,0,4,0
00027,6,10,6,3,10,9,10
00028,7,8,10,10,10,3,10
00029,8,8,8,4,10,2,10
00030,7,5,8,2,0,6,10
00031,7,9,6,8,0,6,10
00032,5,7,10,9,0,1,0
00033,10,6,8,5,0,1,10
00034,7,10,8,10,10,6,10
00035,5,8,10,5,10,10,0
00036,8,10,10,3,10,3,0
00037,9,7,6,4,10,8,0
00038,10,8,7,9,10,1,10
00039,10,7,8,6,0,1,0
00040,9,8,9,2,10,9,0
00041,5,8,7,10,0,5,0
00042,9,7,6,10,10,6,10
00043,8,7,9,6,10,6,10
00044,5,6,8,2,10,7,10
00045,8,5,8,9,0,6,0
00046,6,8,8,5,10,4,0
00047,9,5,7,9,10,5,10
00048,7,9,5,7,10,8,0
00049,5,9,8,5,0,1,10
00050,5,5,9,8,0,9,0
00051,10,6,9,10,10,4,10
00052,8,9,8,4,10,2,10
00053,8,5,8,4,0,6,10
00054,8,9,8,5,0,10,10
00055,10,5,10,4,10,6,10
00056,10,5,9,8,0,8,0
00057,10,7,10,3,10,5,0
00058,6,10,9,6,10,7,10
00059,5,9,5,2,10,7,0
00060,8,7,10,9,0,2,10
00061,10,10,10,1,10,3,0
00062,5,6,6,8,10,7,0
00063,8,6,8,9,10,3,0
00064,7,10,8,4,0,5,10
00065,6,9,10,1,0,5,10
00066,8,5,9,10,0,6,10
00067,7,10,10,3,10,7,10
00068,5,7,6,10,10,6,10
00069,9,10,5,5,10,6,10
00070,9,10,6,1,0,7,10
00071,9,8,9,5,0,8,0
00072,6,9,7,5,10,4,10
00073,8,7,5,6,10,9,10
00074,5,7,8,4,10,9,10
00075,10,5,7,3,10,1,0
00076,8,7,8,4,0,8,10
00077,9,7,6,5,10,8,0
00078,6,9,10,9,10,7,0
00079,8,7,8,7,10,5,0
00080,8,10,7,8,10,1,10
00081,10,9,9,3,10,1,0
00082,5,7,9,3,0,2,0
00083,5,7,10,1,10,2,0
00084,9,9,7,6,0,3,10
00085,7,9,5,6,0,9,0
00086,8,9,5,2,10,9,10
00087,10,10,9,3,10,1,10
00088,8,9,7,7,0,2,0
00089,8,6,5,7,0,1,10
00090,10,6,9,5,10,6,10
00091,8,9,5,6,10,9,0
00092,8,10,9,8,0,1,0
00093,8,6,7,4,0,3,10
00094,10,8,7,9,10,10,10
00095,10,6,5,6,10,7,10
00096,8,10,7,3,0,4,0
00097,10,5,6,8,0,5,10
00098,5,8,9,3,0,6,10
00099,10,9,7,9,10,2,10
00100,7,5,8,8,10,8,0
00101,6,6,8,10,0,10,0
00102,8,5,10,8,10,2,10
00103,8,5,8,6,0,1,0
00104,8,10,9,2,0,5,10
00105,5,6,9,6,0,3,0
00106,8,5,5,7,0,4,10
00107,6,10,10,3,0,8,10
00108,8,8,10,2,10,1,10
00109,6,6,9,9,0,1,0
00110,10,10,10,6,0,6,0
00111,5,10,8,2,0,4,10
00112,10,8,9,8,10,1,10
00113,10,10,9,2,0,7,10
00114,10,5,7,6,0,7,0
00115,10,9,10,9,10,5,0
00116,10,10,8,3,0,5,10
00117,5,6,6,6,10,8,0
00118,6,5,8,9,10,7,10
00119,8,7,9,4,10,6,0
00120,6,5,9,10,0,4,0
00121,6,10,7,5,0,3,10
00122,6,10,7,3,0,1,0
00123,8,5,5,6,0,10,10
00124,10,10,6,10,10,10,0
00125,8,6,7,5,0,9,10
00126,7,10,7,9,0,8,10
00127,6,5,6,7,0,6,10
00128,5,5,8,10,0,2,10
00129,6,5,6,1,0,4,10
00130,7,5,7,2,0,2,10
00131,9,8,7,5,0,9,0
00132,5,7,7,8,10,2,0
00133,5,7,9,6,0,4,0
00134,6,7,9,8,10,10,10
00135,5,10,7,7,0,10,10
00136,7,10,8,8,0,2,10
00137,8,7,10,3,0,3,0
00138,5,6,8,6,0,3,0
00139,7,6,9,5,10,5,10
00140,10,5,10,3,0,3,0
00141,10,9,9,8,0,6,0
00142,8,9,10,1,0,4,10
00143,6,6,8,6,0,5,0
00144,7,8,5,7,0,7,0
00145,8,10,8,2,0,3,10
00146,7,6,8,2,10,9,0
00147,5,8,6,7,10,9,10
00148,9,10,9,7,0,2,10
00149,5,9,6,8,10,1,0
00150,8,6,10,4,0,10,10
00151,9,7,10,10,10,5,0
00152,7,8,9,9,10,8,10
00153,8,7,5,3,10,6,0
00154,9,5,6,5,0,1,10
00155,7,9,10,1,10,4,10
00156,8,5,8,2,0,8,10
00157,8,6,5,2,10,5,0
00158,10,5,10,6,0,2,0
00159,5,10,10,2,10,8,0
00160,10,6,9,7,0,4,10
00161,5,10,5,4,0,1,10
00162,8,5,7,7,10,6,0
00163,7,10,5,1,0,6,0
00164,9,8,6,2,10,7,0
00165,7,5,8,6,0,8,0
00166,7,7,10,6,10,6,10
00167,9,7,9,4,0,6,0
00168,9,10,9,7,10,7,0
00169,9,10,10,7,10,9,10
00170,9,9,7,3,0,7,0
00171,10,6,6,2,0,2,0
00172,10,5,10,4,10,3,10
00173,8,7,7,2,0,4,0
00174,5,5,5,1,10,6,0
00175,6,7,10,5,10,7,0
00176,8,8,7,6,10,3,0
00177,10,9,5,9,10,2,0
00178,8,6,6,5,10,5,0
00179,5,7,7,1,0,6,10
00180,8,10,8,4,10,3,10
00181,5,6,10,6,0,3,0
00182,6,7,6,5,0,6,0
00183,5,10,7,7,0,8,0
00184,5,7,9,5,0,5,0
00185,10,10,7,9,10,2,0
00186,10,8,6,4,10,9,0
00187,9,9,5,5,0,5,0
00188,9,7,6,4,0,5,0
00189,10,9,9,3,0,9,0
00190,5,8,5,2,10,2,0
00191,5,10,9,9,0,10,0
00192,7,5,10,1,0,8,0
00193,7,5,9,5,0,10,0
00194,9,10,6,4,10,8,10
00195,6,10,8,9,10,2,0
00196,6,10,8,1,0,2,10
00197,9,9,7,10,0,9,0
00198,6,8,10,9,0,3,10
00199,8,5,8,9,0,6,10
00200,8,5,6,8,10,5,0
00201,5,9,5,1,10,5,10
00202,5,10,7,10,0,2,10
00203,8,8,10,4,0,4,10
00204,10,10,8,2,0,10,0
00205,5,6,6,1,10,4,0
00206,5,7,5,4,10,9,0
00207,8,10,8,3,10,4,0
00208,8,10,10,1,0,5,10
00209,6,9,7,1,10,6,10
00210,8,10,7,6,0,2,10
00211,5,10,8,2,0,8,10
00212,10,10,9,7,10,9,10
00213,9,8,9,6,10,1,10
00214,10,10,5,3,0,4,0
00215,9,9,10,9,10,2,10
00216,10,5,7,7,0,8,0
00217,8,5,9,3,0,4,10
00218,10,5,6,8,10,6,0
00219,8,9,7,10,0,6,0
00220,8,7,10,6,10,2,0
00221,5,9,5,6,10,6,10
00222,10,10,10,1,0,6,0
00223,8,8,8,2,0,10,10
00224,5,8,8,8,10,8,0
00225,8,5,9,2,10,2,10
00226,7,10,8,2,10,6,10
00227,5,8,7,3,10,3,10
00228,5,9,9,10,0,9,10
00229,10,6,9,6,0,8,0
00230,9,8,8,8,0,6,10
00231,7,9,5,6,10,10,0
00232,6,8,9,6,10,7,0
00233,8,8,7,7,0,3,0
00234,5,7,6,8,0,2,10
00235,8,10,7,10,10,3,10
00236,7,5,7,5,0,9,0
00237,9,5,5,6,0,8,10
00238,6,10,10,6,10,4,10
00239,9,10,7,7,0,8,0
00240,5,9,6,7,0,5,0
00241,10,9,6,1,10,5,0
00242,5,8,9,10,10,9,0
00243,8,5,5,2,0,2,10
00244,10,7,9,3,0,4,10
00245,5,6,9,6,0,4,0
00246,9,7,5,9,10,9,0
00247,9,6,5,6,0,10,10
00248,5,9,5,1,0,9,0
00249,9,9,6,4,0,5,10
00250,5,8,10,1,0,4,10
00251,5,9,7,1,0,9,0
00252,6,7,9,5,0,1,0
00253,5,10,8,8,0,8,0
00254,6,8,5,8,10,1,0
00255,10,9,5,2,10,4,10
00256,5,5,8,4,10,4,10
00257,5,9,7,2,10,9,0
00258,8,10,5,6,0,2,10
00259,8,10,5,10,0,6,0
00260,10,10,5,10,10,10,10
00261,5,9,6,6,10,6,0
00262,10,5,5,5,10,1,0
00263,9,10,8,10,0,9,10
00264,8,10,5,3,10,2,10
00265,7,7,6,9,10,3,10
00266,6,10,6,6,10,4,10
00267,10,9,8,9,0,7,0
00268,6,8,7,6,0,9,10
00269,10,7,9,9,10,7,10
00270,10,7,6,8,10,2,0
00271,9,5,10,9,10,8,0
00272,10,7,6,9,10,10,0
00273,5,6,9,7,10,7,0
00274,9,10,8,5,10,8,10
00275,5,10,7,9,0,10,10
00276,8,10,9,6,0,1,10
00277,9,9,9,9,10,4,10
00278,6,9,7,5,10,7,0
00279,10,8,9,9,0,7,10
00280,7,8,7,4,10,1,0
00281,6,6,8,6,0,9,0
00282,10,8,8,4,10,10,10
00283,7,6,10,3,0,5,0
00284,6,8,7,8,10,7,10
00285,7,9,8,3,0,10,10
00286,6,6,6,4,10,9,0
00287,10,10,6,4,10,10,10
00288,7,5,7,10,10,1,10
00289,6,5,7,1,0,2,10
00290,9,9,10,2,10,10,10
00291,7,5,8,2,0,9,0
00292,9,6,7,3,0,9,0
00293,8,10,5,3,10,6,10
00294,8,7,7,2,0,5,10
00295,6,6,7,8,0,4,0
00296,6,8,5,10,10,5,10
00297,8,6,5,6,0,9,10
00298,10,8,9,2,10,5,0
00299,10,7,7,8,10,8,10
00300,10,9,10,4,0,6,10
00301,5,7,5,6,10,6,0
00302,9,8,8,6,10,1,10
00303,10,6,10,7,0,8,0
00304,10,6,10,5,10,7,0
00305,9,8,9,6,10,5,0
00306,9,8,7,10,0,5,0
00307,8,6,9,1,0,10,0
00308,9,8,8,2,10,9,0
00309,9,9,5,1,0,3,10
00310,10,6,9,10,0,3,0
00311,5,8,7,6,10,9,0
00312,10,7,7,5,10,6,10
00313,9,7,8,3,0,5,10
00314,7,6,10,10,0,9,10
00315,7,7,5,5,0,7,10
00316,6,7,10,10,0,2,10
00317,9,7,6,8,10,5,0
00318,7,9,8,10,0,7,0
00319,6,7,9,4,10,1,0
00320,9,7,6,10,0,1,10
00321,9,7,6,7,10,4,10
00322,10,8,10,10,0,6,10
00323,7,9,8,4,0,10,10
00324,7,10,5,6,0,3,10
00325,5,8,7,9,10,2,0
00326,6,8,8,10,0,2,10
00327,6,9,10,8,0,8,10
00328,7,5,8,5,10,6,10
00329,7,10,5,6,0,3,10
00330,10,9,6,10,10,4,0
00331,10,9,9,7,0,5,10
00332,10,9,8,10,10,2,10
00333,10,10,7,8,0,10,0
00334,10,5,7,3,10,2,0
00335,9,6,10,5,10,4,10
00336,6,10,8,6,10,1,10
00337,8,5,6,1,10,4,10
00338,5,7,10,10,0,1,0
00339,9,10,7,9,0,5,10
00340,10,6,9,5,0,3,10
00341,8,6,10,10,10,9,10
00342,7,6,8,7,0,1,10
00343,8,9,9,10,10,1,10
00344,5,7,5,10,0,1,10
00345,8,10,9,6,10,8,10
00346,5,6,10,1,0,6,0
00347,9,5,8,1,0,10,0
00348,10,5,5,1,0,5,10
00349,8,7,5,7,10,9,10
00350,7,8,10,7,0,1,0
00351,10,6,6,3,10,7,10
00352,8,10,8,1,0,5,10
00353,8,9,6,6,0,3,0
00354,6,7,9,9,10,5,10
00355,5,5,9,5,0,1,0
00356,5,9,8,7,0,7,0
00357,7,6,10,6,10,7,0
00358,7,9,7,7,10,10,10
00359,9,7,9,1,0,7,10
00360,7,10,5,5,0,7,0
00361,10,7,8,3,0,1,0
00362,5,6,8,1,10,5,0
00363,9,6,10,2,0,2,10
00364,9,10,8,9,0,3,10
00365,5,5,7,8,10,9,0
00366,5,6,10,3,10,5,10
00367,8,10,6,3,10,4,10
00368,6,10,9,7,10,7,10
00369,7,7,8,5,10,1,10
00370,9,10,9,7,0,10,10
00371,6,9,10,1,10,5,10
00372,9,6,7,6,0,2,10
00373,9,9,5,9,0,3,0
00374,9,7,5,1,10,6,0
00375,5,9,10,5,0,6,10
00376,7,7,6,9,10,6,10
00377,10,7,6,8,10,7,10
00378,7,6,5,8,10,10,0
00379,9,7,8,6,0,10,10
00380,5,6,10,6,0,4,10
00381,9,9,8,3,0,4,10
00382,10,5,7,9,0,5,0
00383,7,6,5,4,0,10,10
00384,8,10,6,8,10,3,10
00385,5,10,5,5,10,1,10
00386,7,8,10,4,10,7,10
00387,10,9,7,1,0,9,10
00388,7,5,7,1,10,8,0
00389,5,7,6,8,10,10,10
00390,5,7,8,7,10,7,10
00391,10,8,7,2,0,7,10
00392,7,6,5,3,10,9,10
00393,7,10,7,7,10,10,0
00394,9,8,10,4,0,9,10
00395,8,10,7,8,0,5,10
00396,9,5,6,7,10,1,0
00397,6,10,8,2,0,5,10
00398,6,10,8,6,0,5,0
00399,7,5,5,7,10,8,0
00400,8,9,5,2,10,1,0
00401,8,9,9,5,10,9,10
00402,7,9,9,10,0,10,10
00403,10,6,5,8,10,5,0
00404,10,9,6,5,10,9,10
00405,9,10,6,2,10,5,10
00406,5,9,6,2,10,10,10
00407,10,8,10,4,0,3,10
00408,7,6,8,3,0,10,0
00409,5,5,10,4,0,1,10
00410,5,9,5,1,10,2,0
00411,9,10,8,4,0,3,0
00412,10,7,8,4,0,3,10
00413,9,10,6,1,10,10,10
00414,6,6,5,10,0,10,0
00415,5,8,7,3,10,7,0
00416,7,9,7,2,0,10,0
00417,8,5,8,4,10,4,0
00418,8,5,7,9,10,9,0
00419,10,6,7,9,10,8,10
00420,8,5,5,4,10,1,0
00421,6,6,9,10,10,10,0
00422,6,7,9,9,10,8,0
00423,10,7,10,1,0,2,0
00424,6,7,10,4,10,8,0
