MATRICULA,C_SPANISH,C_MATHEMATICS,C_SCIENCES,PROM_T_USE_TECH,DT,Y,CI
00001,6,6,8,5,10,6,10
00002,9,9,10,3,10,4,10
00003,5,6,5,4,10,4,10
00004,7,5,9,2,10,10,10
00005,7,7,10,4,0,2,0
00006,10,6,6,7,10,8,0
00007,7,10,6,10,0,8,0
00008,5,8,6,9,0,2,10
00009,10,6,6,5,10,2,0
00010,6,5,6,9,0,5,10
00011,9,6,9,6,10,7,0
00012,5,10,6,5,10,7,0
00013,9,7,9,4,0,2,0
00014,9,6,10,9,10,7,10
00015,9,9,5,5,0,10,10
00016,9,8,8,7,0,5,10
00017,5,10,9,4,10,2,0
00018,9,6,8,2,10,6,0
00019,10,6,6,10,0,10,10
00020,5,8,7,6,10,9,0
00021,5,8,9,6,10,6,0
00022,5,6,10,9,0,9,10
00023,10,6,10,10,0,10,0
00024,10,8,8,6,0,5,0
00025,9,8,9,10,10,2,10
00026,10,10,10,9,0,3,0
00027,8,10,6,2,0,6,0
00028,6,7,10,6,10,1,10
00029,6,6,6,5,10,1,10
00030,6,10,7,7,10,1,10
00031,5,5,6,5,10,8,0
00032,8,6,9,4,10,4,0
00033,7,7,9,8,0,9,10
00034,6,8,8,7,0,3,10
00035,5,9,5,10,0,4,0
00036,9,10,8,2,10,2,10
00037,9,7,9,3,10,8,0
00038,7,5,9,8,0,5,10
00039,10,8,8,9,10,8,10
00040,7,10,8,1,10,3,0
00041,10,7,9,9,0,5,10
00042,5,5,6,6,10,2,10
00043,9,6,5,1,0,3,0
00044,6,7,6,6,10,1,0
00045,5,7,10,6,0,1,10
00046,9,6,10,3,0,8,10
00047,9,7,10,6,0,6,0
00048,6,7,6,7,0,6,10
00049,9,9,6,2,0,2,10
00050,10,9,6,8,10,10,10
00051,7,7,6,1,10,3,10
00052,9,5,5,4,10,7,10
00053,5,6,9,7,10,1,0
00054,7,8,7,1,0,5,10
00055,9,6,9,3,0,5,0
00056,5,5,7,5,0,4,10
00057,8,7,5,7,10,2,0
00058,7,6,7,6,0,4,0
00059,9,7,6,1,0,3,0
00060,10,9,7,4,0,10,10
00061,8,10,9,3,0,9,10
00062,7,6,6,3,0,5,10
00063,8,10,10,2,0,1,10
00064,9,9,6,8,0,10,0
00065,9,10,9,6,10,4,10
00066,7,9,7,4,0,4,10
00067,9,5,5,8,10,4,0
00068,9,6,10,6,0,3,10
00069,10,8,6,10,0,5,0
00070,8,5,8,3,0,2,10
00071,5,8,5,9,10,10,10
00072,7,10,7,8,10,9,0
00073,5,6,9,7,10,3,10
00074,7,5,6,10,10,7,0
00075,6,9,8,3,10,1,0
00076,8,8,7,8,0,10,0
00077,8,5,6,6,0,8,0
00078,10,6,10,3,10,6,10
00079,8,9,5,4,0,3,10
00080,6,6,7,3,0,7,0
00081,9,5,8,2,0,9,0
00082,5,6,6,3,10,1,10
00083,7,9,9,6,10,3,10
00084,6,9,6,2,0,2,0
00085,5,10,8,6,10,2,10
00086,10,9,10,10,0,1,10
00087,8,10,5,10,0,10,10
00088,10,7,10,1,10,6,0
00089,8,6,8,2,0,3,0
00090,7,8,5,3,10,6,0
00091,5,7,5,9,0,10,10
00092,6,8,10,8,0,10,10
00093,8,10,9,2,0,8,10
00094,10,6,6,5,0,9,0
00095,5,8,7,3,10,10,0
00096,5,5,5,9,10,9,10
00097,10,9,9,9,0,1,0
00098,7,10,7,1,10,3,0
00099,5,5,6,10,10,10,10
00100,6,6,9,4,0,4,10
00101,5,8,5,3,10,5,0
00102,8,7,6,1,0,2,10
00103,6,7,7,5,0,7,0
00104,7,9,10,2,10,6,10
00105,9,7,10,9,0,4,10
00106,9,10,5,4,0,4,0
00107,5,8,7,8,10,6,10
00108,10,6,9,6,10,3,0
00109,5,9,10,2,0,9,10
00110,10,5,6,4,0,2,0
00111,8,9,10,10,0,2,0
00112,5,10,5,3,0,10,10
00113,7,10,5,2,10,2,10
00114,10,6,5,5,0,3,0
00115,5,10,5,2,10,10,10
00116,10,7,8,9,0,5,0
00117,9,6,9,6,10,9,0
00118,6,7,10,7,10,10,0
00119,5,5,8,3,0,10,0
00120,8,8,6,9,10,1,0
00121,8,10,7,9,0,4,10
00122,7,8,7,6,0,2,0
00123,8,9,5,5,10,7,10
00124,10,8,5,4,10,9,10
00125,6,7,6,4,0,3,10
00126,9,10,8,6,0,5,10
00127,6,8,8,6,10,9,10
00128,7,6,8,9,0,1,10
00129,6,8,7,10,0,5,10
00130,8,10,6,1,0,1,10
00131,6,9,8,5,0,6,0
00132,5,6,6,5,10,5,0
00133,5,6,7,8,0,10,0
00134,7,8,9,6,0,8,0
00135,5,6,5,1,0,8,10
00136,7,8,7,4,0,6,10
00137,8,5,7,8,0,10,0
00138,6,8,8,2,10,7,0
00139,9,5,10,6,0,6,10
00140,7,9,5,7,10,10,10
00141,8,10,10,2,0,2,0
00142,10,6,10,4,10,8,10
00143,5,10,10,5,10,2,0
00144,9,10,10,4,0,10,0
00145,7,8,6,4,0,5,10
00146,10,6,6,3,0,9,10
00147,7,7,7,5,10,9,10
00148,8,7,5,5,10,4,10
00149,10,6,9,9,10,10,0
00150,5,10,7,9,10,5,0
00151,10,7,7,5,0,8,10
00152,5,10,9,3,10,7,10
00153,9,8,9,10,10,5,0
00154,9,10,10,8,0,2,10
00155,9,10,6,10,0,4,10
00156,9,7,5,8,10,8,0
00157,8,10,7,10,0,5,10
00158,5,7,9,4,10,6,10
00159,7,10,8,9,0,5,10
00160,9,7,10,1,10,8,0
00161,8,7,7,6,10,6,0
00162,6,9,5,5,10,10,10
00163,8,10,8,6,0,9,0
00164,6,5,5,4,0,1,0
00165,6,9,8,3,10,1,10
00166,6,10,6,4,0,1,10
00167,8,5,8,9,0,4,0
00168,10,9,5,10,10,5,0
00169,9,6,7,1,10,7,10
00170,7,6,8,8,0,6,0
00171,9,8,10,10,10,2,0
00172,5,5,9,4,0,2,10
00173,10,8,7,1,10,8,10
00174,10,8,6,5,0,3,10
00175,9,7,8,1,10,2,0
00176,5,5,9,10,0,10,0
00177,5,10,5,1,10,3,0
00178,6,5,8,8,0,6,10
00179,9,9,5,10,10,10,0
00180,10,7,8,4,0,3,0
00181,9,8,10,5,10,7,10
00182,7,10,9,5,10,2,0
00183,6,7,10,4,10,3,0
00184,8,5,10,6,0,3,0
00185,7,10,5,5,0,4,10
00186,7,10,10,2,0,5,10
00187,5,6,5,5,0,9,0
00188,6,9,10,5,10,3,10
00189,7,5,9,1,10,5,10
00190,8,7,5,3,10,10,0
00191,7,9,8,5,10,8,0
00192,7,6,6,8,0,1,10
00193,8,8,9,6,0,1,0
00194,10,6,6,2,10,7,10
00195,7,9,6,5,0,5,0
00196,7,9,8,5,0,4,10
00197,9,5,6,1,0,10,10
00198,10,7,10,1,0,3,10
00199,8,6,8,9,10,6,10
00200,8,6,9,9,10,3,10
00201,8,7,10,10,10,7,10
00202,9,7,6,4,10,8,0
00203,10,5,5,10,10,3,10
00204,5,8,8,5,0,7,10
00205,10,10,8,8,0,4,10
00206,6,5,9,6,0,6,0
00207,5,6,6,2,0,4,10
00208,10,7,6,8,10,2,0
00209,10,7,5,5,10,6,10
00210,6,6,10,8,10,2,0
00211,10,9,7,9,0,5,10
00212,5,7,9,2,0,3,0
00213,6,5,5,5,10,2,0
00214,8,6,7,7,10,6,0
00215,10,8,8,7,0,4,10
00216,8,7,5,4,10,9,10
00217,8,6,8,1,10,5,0
00218,5,7,9,3,10,5,0
00219,5,5,6,5,0,5,0
00220,10,6,7,3,10,2,0
00221,8,5,10,8,10,4,10
00222,9,9,5,3,0,5,0
00223,8,9,9,4,0,9,10
00224,9,10,8,7,10,4,10
00225,10,8,9,2,0,1,10
00226,9,8,5,2,10,9,10
00227,9,5,9,10,0,8,0
00228,5,10,10,7,0,1,0
00229,9,9,7,8,0,6,0
00230,7,9,6,9,0,2,10
00231,8,10,9,1,10,1,0
00232,8,7,8,1,0,6,0
00233,7,10,6,3,0,9,0
00234,8,10,7,8,10,2,10
00235,8,6,5,2,10,9,0
00236,10,8,5,8,0,7,0
00237,5,5,9,2,0,3,10
00238,10,6,5,5,0,2,0
00239,5,9,6,10,10,4,10
