MATRICULA,C_SPANISH,C_MATHEMATICS,C_SCIENCES,PROM_T_USE_TECH,DT,Y,CI
00001,6,10,10,1,10,1,0
00002,8,6,10,6,0,10,0
00003,9,7,5,8,10,4,0
00004,7,10,7,8,0,8,10
00005,10,9,6,2,0,2,10
00006,10,5,5,3,0,1,0
00007,7,7,8,4,0,5,0
00008,9,6,7,2,10,5,0
00009,6,6,5,6,10,6,10
00010,10,9,5,8,0,8,10
00011,8,5,7,10,0,9,10
00012,7,6,10,3,0,6,0
00013,10,6,6,9,0,3,0
00014,7,5,9,3,10,4,0
00015,10,6,10,1,0,1,0
00016,5,5,10,1,10,9,0
00017,9,10,6,1,10,5,10
00018,7,5,9,10,10,4,10
00019,10,6,10,6,10,8,10
00020,7,9,10,2,0,3,0
00021,5,6,5,4,0,10,0
00022,5,10,8,3,10,3,0
00023,10,8,7,6,0,10,0
00024,7,6,10,8,10,1,0
00025,5,8,7,5,0,3,10
00026,8,5,5,3,0,2,0
00027,6,10,8,10,10,8,10
00028,10,8,10,9,10,4,0
00029,10,7,9,2,0,9,10
00030,10,5,6,5,0,8,10
00031,10,5,10,5,0,10,10
00032,8,9,8,9,0,9,0
00033,5,8,8,8,10,8,0
00034,6,5,7,6,0,2,10
00035,9,8,6,4,0,5,10
00036,8,9,5,5,0,3,0
00037,10,10,10,8,10,3,0
00038,5,10,7,9,0,5,0
00039,10,9,8,6,0,10,10
00040,5,5,7,4,0,7,10
00041,8,6,10,10,0,6,0
00042,7,7,6,2,0,4,0
00043,8,10,6,5,0,4,0
00044,5,8,9,8,10,9,10
00045,7,8,10,2,0,10,0
00046,10,8,5,6,0,2,10
00047,5,5,9,4,10,10,0
00048,5,9,6,3,10,9,10
00049,10,8,5,7,10,10,10
00050,6,6,10,9,0,5,0
00051,10,7,8,4,10,10,10
00052,5,7,6,1,0,8,10
00053,5,5,6,10,10,4,0
00054,8,7,8,6,0,2,0
00055,9,7,10,10,0,9,0
00056,9,8,6,2,0,8,0
00057,8,6,10,7,0,1,10
00058,10,10,5,6,0,6,10
00059,9,7,7,3,10,3,0
00060,6,7,6,4,10,10,10
00061,9,10,5,1,0,7,0
00062,9,9,6,3,0,10,10
00063,8,7,7,2,0,8,10
00064,5,9,9,2,10,5,0
00065,5,6,10,4,0,6,0
00066,10,7,8,7,10,5,10
00067,9,7,10,6,0,10,0
00068,10,9,5,7,10,9,0
00069,9,9,9,3,0,7,0
00070,5,8,10,2,10,5,0
00071,7,6,9,9,0,5,0
00072,9,8,6,4,10,6,10
00073,9,7,6,6,10,4,0
00074,7,10,6,4,0,3,10
00075,8,9,6,9,0,6,10
