MATRICULA,C_SPANISH,C_MATHEMATICS,C_SCIENCES,PROM_T_USE_TECH,DT,Y,CI
00001,5,9,7,6,0,3,0
00002,10,10,6,4,10,3,0
00003,8,6,6,1,10,6,0
00004,8,7,10,8,0,7,0
00005,5,6,6,2,10,3,10
00006,5,7,10,6,10,10,0
00007,9,5,7,4,0,5,10
00008,9,6,5,7,0,1,0
00009,7,5,7,1,10,8,10
00010,10,7,6,6,0,2,10
00011,7,7,9,1,10,7,10
00012,10,7,8,1,10,2,0
00013,7,7,9,1,0,3,10
00014,6,7,10,2,10,6,0
00015,5,6,6,3,0,6,0
00016,10,9,8,10,10,7,0
00017,10,10,10,6,10,10,0
00018,6,6,7,3,0,1,10
00019,5,9,10,3,10,2,0
00020,5,5,10,9,0,2,10
00021,9,8,8,2,10,6,0
00022,5,6,9,6,10,9,10
00023,9,10,9,5,0,10,0
00024,5,9,6,5,10,1,10
00025,8,7,7,5,0,8,0
00026,5,5,6,10,10,8,10
00027,8,10,10,7,10,8,10
00028,5,5,9,7,0,1,0
00029,6,5,5,4,10,5,0
00030,6,6,9,8,0,10,0
00031,8,10,8,5,10,1,0
00032,8,7,6,9,0,4,10
00033,8,6,5,4,0,6,0
00034,8,7,6,6,10,8,10
00035,8,7,10,2,10,1,10
00036,8,9,8,4,0,4,0
00037,8,9,7,10,10,1,10
00038,5,5,9,9,0,6,0
00039,7,6,9,5,0,10,10
00040,7,10,10,5,0,8,10
00041,9,10,8,8,0,8,10
00042,9,7,7,5,10,3,0
00043,8,5,10,2,10,1,0
00044,5,7,8,10,0,2,0
00045,7,10,6,8,0,5,10
00046,7,8,8,5,0,10,0
00047,5,5,6,5,0,10,10
00048,6,10,6,10,0,6,0
00049,6,10,5,7,10,4,0
00050,8,7,6,8,0,10,0
00051,6,5,6,1,10,6,0
00052,7,8,5,2,0,3,10
00053,10,5,6,3,0,8,10
00054,5,6,8,2,0,2,10
00055,8,10,8,3,10,3,0
00056,8,7,10,10,10,1,10
00057,8,9,10,9,0,7,0
00058,9,5,5,4,0,8,0
00059,10,6,9,2,10,4,0
00060,7,10,7,7,0,4,10
00061,10,7,5,5,0,10,0
00062,6,10,6,1,0,3,0
00063,7,8,10,8,0,2,0
00064,5,5,9,6,10,9,10
00065,8,9,9,5,0,9,0
00066,9,7,8,2,10,1,10
00067,7,8,8,4,0,6,10
00068,10,9,5,1,10,2,0
00069,5,8,9,6,0,2,0
00070,8,7,10,6,0,6,0
00071,8,8,6,3,10,8,10
00072,10,5,6,9,10,8,10
00073,9,9,9,8,0,2,10
00074,7,5,10,5,10,10,0
00075,6,7,9,6,0,4,10
00076,5,9,5,9,0,9,0
00077,5,8,6,8,10,4,0
00078,6,7,6,8,0,6,0
00079,9,6,6,10,10,1,10
00080,9,9,10,9,0,10,10
00081,8,10,10,2,0,6,10
00082,6,5,5,2,0,1,0
00083,5,9,9,7,0,10,10
00084,8,6,8,3,10,5,0
00085,7,5,8,1,10,5,10
00086,6,8,6,4,10,8,0
00087,9,7,8,2,10,1,0
00088,8,5,6,10,0,3,10
00089,7,9,10,6,0,5,0
00090,5,6,7,7,10,6,10
00091,10,7,6,4,10,6,0
00092,9,6,7,6,0,6,0
00093,6,7,7,7,0,10,10
00094,5,6,5,9,10,8,10
00095,6,8,9,9,0,1,10
00096,8,6,6,3,10,9,0
00097,7,10,6,1,10,7,0
00098,5,10,8,4,10,7,0
00099,5,8,9,3,0,9,10
00100,6,5,10,8,10,9,0
00101,5,5,10,10,0,4,10
00102,8,9,5,1,0,7,10
00103,10,7,10,4,10,1,10
00104,6,10,8,8,0,7,10
00105,10,10,9,3,10,3,0
00106,7,5,5,3,0,8,0
00107,7,5,7,9,10,1,0
00108,6,8,10,6,0,1,0
00109,10,6,8,10,0,2,0
00110,10,10,10,6,0,9,10
00111,7,9,5,2,0,8,10
00112,5,6,7,5,0,6,0
00113,10,8,10,10,10,3,10
00114,5,5,10,5,0,8,10
00115,5,8,5,2,0,1,10
00116,5,6,6,1,0,5,0
00117,8,7,6,10,10,8,0
00118,6,6,10,10,0,9,0
00119,8,8,9,7,0,6,0
00120,9,6,6,4,0,9,0
00121,7,5,8,4,0,5,10
00122,10,8,7,7,0,4,10
00123,9,5,9,4,0,10,0
00124,9,5,6,6,10,6,10
00125,5,5,9,9,10,2,0
00126,9,10,9,9,0,5,0
00127,5,10,5,4,0,4,0
00128,10,6,5,8,10,7,0
00129,9,8,7,1,10,4,10
00130,9,7,6,1,10,6,10
00131,10,9,6,10,0,6,10
00132,10,8,7,6,10,1,10
00133,9,5,8,6,10,8,10
00134,9,9,6,5,0,5,0
00135,9,5,7,2,0,7,0
00136,10,5,10,1,0,5,0
00137,6,7,7,6,0,4,10
00138,10,5,5,6,0,1,10
00139,8,9,8,9,10,10,0
00140,6,9,10,6,10,3,0
00141,10,5,5,9,10,6,10
00142,5,8,9,5,10,5,10
00143,8,8,9,5,10,5,0
00144,9,8,10,3,0,9,0
00145,8,6,7,1,10,2,10
00146,6,10,10,2,0,2,10
00147,6,6,7,10,0,6,10
00148,5,9,5,8,0,10,10
00149,6,7,6,4,10,10,0
00150,5,10,8,5,0,5,0
00151,9,8,8,9,0,3,0
00152,9,8,8,6,10,5,10
00153,6,10,10,9,10,4,10
00154,6,5,6,4,10,7,10
00155,10,7,6,5,10,5,10
00156,9,10,10,1,10,2,10
00157,9,5,6,4,0,5,0
00158,8,10,7,9,0,5,0
00159,10,10,9,5,10,10,0
00160,9,6,9,9,10,10,10
00161,5,10,10,2,10,7,10
00162,5,8,8,9,10,1,0
00163,9,8,9,6,0,5,0
00164,10,7,6,6,0,1,0
00165,8,8,6,7,10,6,0
00166,10,8,7,3,10,6,0
00167,6,10,6,6,10,9,0
00168,8,7,8,6,0,5,10
00169,10,6,8,10,0,5,0
