MATRICULA,C_SPANISH,C_MATHEMATICS,C_SCIENCES,PROM_T_USE_TECH,DT,Y,CI
00001,5,9,7,1,10,1,0
00002,10,10,7,3,10,4,0
00003,9,5,6,9,0,5,10
00004,7,6,8,1,0,2,10
00005,9,10,5,1,10,8,0
00006,6,6,7,4,0,5,10
00007,10,9,7,8,0,5,0
00008,5,9,8,3,0,4,10
00009,7,6,6,6,10,8,10
00010,10,9,9,6,10,8,10
00011,7,6,6,3,0,4,0
00012,5,5,7,1,10,3,0
00013,9,9,10,1,10,3,0
00014,7,5,8,5,10,9,10
00015,8,8,10,10,0,6,0
00016,7,9,10,4,10,8,0
00017,6,10,10,3,0,6,0
00018,8,6,7,3,0,9,10
00019,6,9,10,7,10,5,0
00020,7,8,9,6,0,10,10
00021,5,5,10,3,10,8,0
00022,5,9,10,5,0,9,10
00023,9,10,6,1,0,4,10
00024,9,6,7,6,10,9,10
00025,8,8,5,4,10,2,10
00026,7,10,7,10,0,5,10
00027,7,7,9,9,0,7,0
00028,8,5,7,1,10,6,0
00029,7,7,8,5,0,8,10
00030,10,9,6,4,0,3,10
00031,10,5,7,8,0,3,0
00032,9,6,7,6,0,7,10
00033,5,8,10,4,10,6,0
00034,5,6,8,1,10,2,10
00035,7,6,5,9,0,2,10
00036,10,7,5,2,10,6,10
00037,7,10,5,6,0,1,0
00038,8,5,5,9,10,1,10
00039,10,5,10,4,10,7,0
00040,7,8,10,9,10,3,0
00041,5,10,5,3,0,1,0
00042,7,10,6,4,10,1,0
00043,6,9,9,3,10,3,10
00044,7,9,8,9,0,1,10
00045,5,8,6,4,10,2,10
00046,10,9,9,10,0,9,0
00047,6,5,8,5,0,3,10
00048,7,8,6,4,0,4,10
00049,9,7,10,10,10,9,0
00050,8,5,10,2,0,9,10
00051,5,10,6,8,0,6,0
00052,9,8,5,4,0,5,0
00053,6,9,7,10,10,3,0
00054,8,9,9,5,10,8,10
00055,7,6,10,9,10,6,10
00056,5,10,6,9,10,5,0
00057,7,6,10,7,10,8,10
00058,8,5,6,10,10,1,0
00059,8,8,8,4,10,1,0
00060,9,7,9,5,10,4,10
00061,8,9,6,1,0,6,0
00062,10,9,7,8,10,7,0
00063,9,9,5,8,10,2,0
00064,8,7,10,5,0,6,10
00065,9,10,7,4,10,2,10
00066,6,5,5,1,10,1,0
00067,8,7,7,4,0,7,10
00068,8,8,7,6,0,4,0
00069,9,6,9,9,10,7,0
00070,8,10,9,3,10,8,10
00071,8,7,8,8,10,9,10
00072,8,5,8,3,10,1,0
00073,5,7,6,9,10,6,0
00074,5,5,6,5,10,6,0
00075,9,9,9,4,10,10,0
00076,7,5,5,9,0,3,10
00077,8,7,8,5,0,2,0
00078,10,10,8,2,0,9,0
00079,8,6,5,4,10,10,10
00080,9,8,6,4,0,6,0
00081,9,7,8,8,10,7,0
00082,6,9,8,1,0,8,0
00083,10,5,8,7,0,8,0
00084,7,8,10,10,10,5,10
00085,5,6,6,8,0,1,10
00086,6,8,7,4,0,4,10
00087,8,5,6,9,10,1,10
00088,10,9,6,9,0,2,0
00089,6,10,6,7,10,6,10
00090,10,7,8,2,10,8,0
00091,10,6,5,6,0,4,10
00092,9,8,9,5,10,4,0
00093,6,7,8,5,0,6,10
00094,5,7,8,6,10,5,0
00095,7,8,10,1,10,10,10
00096,10,9,7,4,10,9,0
00097,10,7,10,10,10,7,0
00098,10,8,5,7,0,8,10
00099,6,8,5,4,0,6,10
00100,7,8,8,2,0,8,0
00101,10,6,5,1,0,3,0
00102,6,9,5,1,0,6,0
00103,10,9,8,6,10,4,0
00104,6,10,6,10,10,7,0
00105,9,7,7,10,0,7,10
00106,8,9,5,1,10,3,10
00107,9,9,10,10,10,9,0
00108,8,7,10,2,10,7,0
00109,8,7,9,6,0,2,10
00110,10,9,5,8,10,9,0
00111,9,6,6,1,10,10,0
00112,6,7,9,1,0,8,0
00113,10,8,9,6,10,8,10
00114,10,7,7,7,0,6,0
00115,7,5,7,10,10,8,0
00116,10,6,8,1,0,9,10
00117,7,9,7,8,10,8,0
00118,5,6,7,5,0,1,0
00119,10,7,7,9,0,1,0
00120,10,9,7,9,0,10,10
00121,7,5,6,10,10,2,0
00122,5,9,8,5,10,9,10
00123,9,6,9,3,10,7,0
00124,6,8,10,5,0,7,10
00125,10,6,6,5,0,8,10
00126,5,6,6,2,0,2,0
00127,8,5,9,9,10,9,0
00128,10,5,9,9,10,7,10
00129,8,10,10,7,0,6,0
00130,10,10,10,1,10,1,10
00131,9,9,10,5,10,5,10
00132,5,10,8,8,10,5,10
00133,6,5,8,8,0,2,10
00134,6,10,10,2,0,8,0
00135,9,5,9,8,0,9,10
00136,6,5,6,7,10,9,10
00137,6,9,9,6,10,3,0
00138,10,8,6,7,10,7,0
00139,8,8,8,2,0,1,0
00140,7,5,9,10,10,4,0
00141,7,5,5,3,10,7,0
00142,8,9,10,6,10,6,0
00143,5,10,7,3,0,4,10
00144,5,10,6,4,0,5,10
00145,5,5,6,10,10,10,10
00146,9,8,10,9,0,9,0
00147,9,7,8,8,0,9,0
00148,6,8,7,8,10,10,10
00149,8,7,9,3,0,9,10
00150,5,5,5,6,0,2,10
00151,9,9,5,8,0,3,0
00152,9,5,7,9,0,8,0
00153,9,5,7,1,0,1,0
00154,5,5,9,7,10,3,10
00155,5,7,8,10,0,10,10
00156,7,5,9,8,10,6,0
00157,8,8,9,7,10,9,10
00158,7,8,7,4,0,9,10
00159,9,7,8,9,10,1,10
00160,7,6,6,6,0,8,10
00161,7,5,10,9,0,4,0
00162,6,9,7,9,10,7,10
00163,8,8,5,4,10,5,0
00164,9,8,7,5,0,4,10
00165,7,10,7,6,0,5,0
00166,5,10,7,3,10,3,10
00167,5,7,5,2,0,6,0
00168,7,9,10,7,0,6,10
00169,9,9,10,4,10,1,10
00170,10,5,9,1,0,2,0
00171,8,10,9,2,0,8,10
00172,10,8,9,7,0,5,0
00173,10,8,10,10,10,1,0
00174,5,10,8,1,10,9,0
00175,8,8,7,3,10,4,0
00176,9,7,8,8,0,7,0
00177,10,10,5,1,10,6,0
00178,9,9,9,4,0,8,10
00179,8,8,5,6,10,8,0
00180,7,5,10,5,10,8,10
00181,5,5,7,4,0,9,0
00182,7,8,8,1,10,5,0
00183,5,6,9,5,0,5,0
00184,5,6,6,6,0,5,10
00185,7,10,10,9,10,8,10
00186,9,8,10,8,10,8,10
00187,8,5,6,7,10,1,10
00188,7,5,8,1,10,5,0
00189,5,9,5,10,10,6,0
00190,5,9,10,4,10,8,10
00191,9,10,8,2,0,7,0
00192,9,9,7,1,0,1,0
00193,10,5,10,2,0,7,0
00194,5,5,8,9,10,10,0
00195,6,10,7,10,10,6,10
00196,9,5,7,5,0,7,0
00197,8,7,10,2,0,5,10
00198,8,9,6,9,0,6,0
00199,9,10,9,1,10,5,10
00200,5,9,7,9,0,4,0
00201,8,7,5,2,10,1,0
00202,8,7,6,4,0,3,0
00203,9,5,7,4,0,1,10
00204,8,6,8,6,0,7,0
00205,7,8,10,3,0,5,0
00206,7,8,9,6,10,2,10
00207,6,10,6,2,0,7,10
00208,9,7,9,10,10,8,10
00209,5,7,8,8,0,6,10
00210,5,10,7,10,10,3,0
00211,8,7,10,2,10,1,0
00212,9,8,5,8,10,7,0
00213,8,8,5,7,10,2,0
00214,9,6,10,7,0,4,0
00215,8,6,7,2,10,7,0
