MATRICULA,C_SPANISH,C_MATHEMATICS,C_SCIENCES,PROM_T_USE_TECH,DT,Y,CI
00001,7,7,7,10,10,8,10
00002,10,8,8,10,0,10,10
00003,6,5,5,10,0,2,10
00004,7,10,8,2,0,2,10
00005,5,5,10,1,0,10,0
00006,7,7,8,10,0,4,10
00007,8,5,8,6,0,4,10
00008,8,8,10,2,10,3,10
00009,5,5,10,1,10,5,0
00010,7,7,5,7,0,6,0
00011,10,7,8,4,0,10,10
00012,5,8,7,9,0,3,10
00013,5,7,8,6,10,5,10
00014,7,6,6,4,10,8,10
00015,6,7,10,6,10,7,10
00016,8,10,6,5,10,5,0
00017,8,6,10,4,10,6,0
00018,7,6,5,3,0,9,0
00019,9,7,6,9,0,10,0
00020,8,9,7,10,10,9,0
00021,8,7,9,1,10,8,10
00022,6,10,6,4,0,5,0
00023,8,5,6,8,0,6,0
00024,9,8,10,10,10,2,10
00025,10,9,6,10,10,8,0
00026,6,9,8,4,0,4,0
00027,10,9,7,3,10,5,0
00028,7,7,10,2,10,9,0
00029,9,7,8,9,0,5,10
00030,9,8,5,7,0,4,10
00031,9,9,10,6,10,10,10
00032,9,7,9,2,0,9,0
00033,6,10,5,4,10,8,10
00034,9,10,9,5,0,6,10
00035,7,6,10,9,0,1,0
00036,6,8,8,2,10,1,0
00037,9,7,7,5,10,7,0
00038,8,6,5,5,10,5,0
00039,10,5,6,9,0,3,0
00040,6,8,9,5,10,10,10
00041,8,6,10,10,10,5,0
00042,9,6,8,8,10,4,10
00043,7,10,9,2,0,2,10
00044,7,5,7,6,0,6,10
00045,8,8,8,2,10,6,0
00046,5,8,9,6,0,3,10
00047,5,7,6,10,10,7,0
00048,10,9,8,5,0,4,0
00049,8,5,6,10,0,6,10
00050,6,9,6,4,0,5,0
00051,7,10,9,1,10,2,0
00052,6,7,5,10,10,7,10
00053,10,8,9,3,10,6,0
00054,9,5,10,9,10,7,0
00055,9,7,5,10,10,10,10
00056,8,8,10,6,10,6,0
00057,9,9,9,6,10,3,0
00058,7,6,9,5,0,8,0
00059,6,6,8,8,0,6,10
00060,7,10,10,1,0,4,0
00061,8,9,7,5,10,1,10
00062,10,7,10,4,10,4,10
00063,10,6,6,1,10,2,10
00064,10,7,9,2,0,8,10
00065,9,10,7,3,0,8,10
00066,5,6,10,3,0,8,0
00067,9,9,7,4,0,8,0
00068,5,10,6,6,10,8,0
00069,10,5,8,8,10,5,0
00070,9,5,5,1,0,6,10
00071,7,8,9,2,0,1,10
00072,9,10,10,4,10,2,0
00073,8,8,8,4,10,3,0
00074,10,7,5,7,10,7,10
00075,8,7,6,8,0,5,0
00076,6,10,8,6,0,6,10
00077,9,7,10,5,10,1,10
00078,9,6,10,4,10,3,10
00079,5,5,5,8,10,2,0
00080,8,5,7,3,0,1,10
00081,6,7,8,2,10,6,10
00082,9,10,5,4,10,1,10
00083,9,6,5,3,10,7,0
00084,10,7,9,8,10,6,0
00085,6,9,6,4,10,9,10
00086,8,7,7,9,10,3,10
00087,5,9,7,4,10,1,10
00088,9,5,6,10,0,8,0
00089,6,8,10,10,0,5,0
00090,10,5,10,1,0,1,0
00091,6,10,10,4,0,6,0
00092,6,7,6,1,10,7,10
00093,9,7,8,9,10,9,10
00094,8,6,6,8,10,4,10
00095,7,6,10,4,10,9,0
00096,10,6,6,5,0,2,10
00097,7,7,9,8,0,10,0
00098,8,8,6,7,0,2,0
00099,7,5,6,6,0,7,0
00100,7,10,10,4,0,9,0
00101,6,10,8,5,0,5,10
00102,7,5,9,6,10,5,10
00103,7,6,7,8,10,5,0
00104,8,10,5,4,0,3,0
00105,9,7,5,9,10,3,0
00106,7,8,9,10,10,4,0
00107,9,9,5,2,0,1,0
00108,8,9,7,6,0,2,10
00109,6,7,7,8,0,1,10
00110,5,10,5,4,10,6,0
00111,8,8,7,10,0,4,0
00112,5,9,5,1,0,6,10
00113,9,10,8,3,0,10,0
00114,9,5,9,5,10,6,0
00115,5,8,6,1,10,9,0
00116,9,10,9,1,10,1,0
00117,5,5,6,1,10,7,10
00118,9,5,7,8,0,6,10
00119,10,8,10,8,10,1,0
00120,10,9,10,4,10,9,10
00121,7,8,9,5,10,9,10
00122,9,7,7,10,10,8,0
00123,7,10,10,10,10,9,0
00124,7,10,10,1,10,1,0
00125,10,6,5,6,10,1,10
