MATRICULA,C_SPANISH,C_MATHEMATICS,C_SCIENCES,PROM_T_USE_TECH,DT,Y,CI
00001,7,6,9,5,0,4,10
00002,8,9,9,8,10,1,10
00003,6,8,8,9,0,2,10
00004,9,6,9,4,0,9,0
00005,9,5,10,9,0,7,10
00006,7,5,5,10,10,10,0
00007,6,8,5,4,0,9,0
00008,8,10,8,2,0,8,10
00009,8,5,5,4,10,2,10
00010,7,5,5,5,10,8,0
00011,10,8,7,6,0,3,0
00012,5,5,5,7,0,8,0
00013,7,6,9,7,10,3,10
00014,5,8,7,9,0,10,0
00015,5,5,6,1,10,3,0
00016,6,9,10,2,10,9,10
00017,6,9,5,9,0,9,10
00018,7,9,7,1,0,3,0
00019,5,10,7,7,10,8,0
00020,8,6,6,7,10,10,10
00021,5,6,9,8,0,9,10
00022,7,5,6,9,10,4,10
00023,5,5,10,8,0,2,10
00024,6,10,5,6,0,9,10
00025,5,7,7,1,0,7,0
00026,10,7,6,7,0,8,0
00027,8,8,8,3,0,8,0
00028,6,7,7,5,10,6,0
00029,5,7,10,4,10,1,10
00030,7,5,10,4,10,8,10
00031,10,6,5,7,0,1,10
00032,5,8,6,6,10,7,10
00033,9,8,8,8,10,8,10
00034,5,7,5,6,0,2,0
00035,10,6,8,9,0,5,0
00036,10,8,8,1,0,9,0
00037,7,9,8,8,10,6,10
00038,8,5,7,6,10,5,10
00039,10,10,5,7,10,9,10
00040,6,9,7,6,0,4,10
00041,9,8,9,5,10,1,0
00042,5,6,10,7,0,9,0
00043,5,10,7,2,0,8,10
00044,7,8,8,3,0,7,10
00045,7,10,9,10,10,2,10
00046,9,7,7,3,0,5,10
00047,8,7,8,10,10,10,0
00048,6,5,5,9,0,4,10
00049,6,5,6,5,0,10,10
00050,10,5,9,5,0,3,0
00051,9,6,7,10,0,2,10
00052,5,9,6,6,10,8,10
00053,5,5,6,1,10,6,0
00054,5,6,5,8,0,3,0
00055,6,9,6,3,10,10,10
00056,6,9,5,10,0,8,0
00057,5,5,5,4,0,2,10
00058,8,6,9,5,10,9,10
00059,10,10,6,9,10,8,0
00060,6,5,6,8,0,8,10
00061,5,10,8,3,0,1,10
00062,7,10,9,4,0,7,10
00063,7,6,8,2,0,10,0
00064,10,7,5,8,0,10,0
00065,6,10,7,2,0,3,0
00066,10,10,9,3,10,10,10
00067,6,8,9,6,0,2,10
00068,10,9,9,9,0,9,10
00069,8,7,8,10,0,5,10
00070,10,10,10,10,10,1,0
00071,8,7,6,1,0,2,0
00072,10,6,7,9,0,5,0
00073,6,7,9,9,0,7,10
00074,10,9,5,10,10,7,0
00075,5,7,9,4,0,9,10
00076,8,9,10,3,0,6,0
00077,9,7,8,5,10,7,10
00078,9,5,9,10,0,1,0
00079,6,9,7,10,0,6,10
00080,5,8,10,5,10,2,0
00081,10,7,6,2,10,7,10
00082,7,5,5,4,0,5,0
00083,10,8,10,4,0,1,10
00084,9,7,9,5,0,9,0
00085,10,6,9,9,10,8,10
00086,5,7,9,7,10,1,10
00087,8,9,7,9,0,3,10
00088,7,8,6,3,10,2,10
00089,9,5,5,5,10,10,10
00090,8,5,10,10,10,7,0
00091,7,8,6,10,10,3,10
00092,10,10,8,3,10,10,0
00093,5,6,9,1,10,6,0
00094,8,7,6,8,10,2,10
00095,9,10,8,4,0,3,0
00096,8,5,5,1,0,7,10
00097,8,8,7,10,0,2,0
00098,5,8,7,1,10,1,10
00099,8,7,6,3,10,6,10
00100,7,7,9,2,0,9,0
00101,10,8,7,2,0,3,0
00102,7,7,7,1,10,1,10
00103,8,8,5,3,0,10,10
