MATRICULA,C_SPANISH,C_MATHEMATICS,C_SCIENCES,PROM_T_USE_TECH,DT,Y,CI
00001,9,6,8,9,0,5,0
00002,9,7,7,7,0,8,10
00003,9,7,9,4,0,10,10
00004,10,5,8,6,10,8,0
00005,7,9,6,9,0,4,10
00006,7,6,5,2,0,4,10
00007,5,10,7,6,10,3,0
00008,10,5,5,3,10,10,0
00009,8,10,5,7,10,7,0
00010,9,6,5,1,10,10,10
00011,10,9,8,10,10,10,10
00012,6,10,8,3,10,2,10
00013,10,10,5,2,10,5,10
00014,10,7,8,9,0,2,0
00015,7,7,8,7,0,8,0
00016,9,5,5,3,0,4,0
00017,9,5,6,1,0,5,0
00018,7,6,9,5,10,6,10
00019,9,10,6,1,10,7,0
00020,6,5,7,5,0,6,10
00021,8,5,6,3,10,7,0
00022,10,8,7,3,10,4,0
00023,7,5,10,8,0,2,0
00024,7,6,5,7,0,9,0
00025,7,8,10,10,10,1,10
00026,8,10,6,9,0,1,0
00027,6,7,8,7,0,2,10
00028,8,6,5,7,10,3,10
00029,10,5,9,1,0,7,10
00030,7,9,7,2,0,6,0
00031,10,10,10,6,0,3,10
00032,5,7,8,9,10,8,10
00033,6,8,8,5,0,7,0
00034,7,10,9,10,0,1,0
00035,8,6,10,8,10,3,10
00036,10,7,7,9,10,7,10
00037,6,9,6,7,10,2,10
00038,8,10,8,6,10,7,0
00039,7,6,6,7,0,2,10
00040,6,5,10,4,0,10,0
00041,10,9,10,2,10,6,0
00042,8,10,6,9,0,5,0
00043,5,10,9,5,10,8,10
00044,9,7,5,6,0,5,10
00045,8,10,6,5,10,7,10
00046,6,10,7,8,10,4,10
00047,8,10,9,4,0,1,0
00048,5,5,6,2,10,1,10
00049,9,6,9,6,0,6,10
00050,7,9,6,8,10,8,10
00051,9,6,10,8,0,9,10
00052,6,5,5,10,0,10,0
00053,9,10,9,1,10,6,10
00054,8,7,8,3,10,2,10
00055,5,7,10,3,0,5,0
00056,10,5,7,8,0,2,0
00057,10,7,8,5,0,1,0
00058,9,9,9,9,10,9,10
00059,7,9,5,2,0,1,10
00060,5,9,8,5,10,10,0
00061,6,5,7,8,10,6,10
00062,5,8,7,4,0,5,0
00063,9,5,5,3,0,8,0
00064,8,6,5,3,0,2,0
00065,8,9,7,6,10,6,0
00066,6,6,8,3,0,10,10
00067,7,6,7,9,10,4,0
00068,9,7,5,10,0,5,0
00069,6,5,10,6,0,6,0
00070,5,8,5,4,10,5,10
00071,8,5,7,5,0,4,10
00072,8,8,9,2,10,8,10
